"TIME","GEO","CITIZEN","AGE","SEX","Value","Flag and Footnotes"
"2001","Israel","Total","From 15 to 19 years","Females",":",""
"2002","European Union (27 countries)","Total","From 10 to 14 years","Females",":",""
"2002","European Union (27 countries)","Total","From 15 to 19 years","Females",":",""
"2002","Belgium","Total","From 10 to 14 years","Females","306,287",""
"2002","Belgium","Total","From 15 to 19 years","Females","295,150",""
"2002","Bulgaria","Total","From 10 to 14 years","Females",":",""
"2002","Bulgaria","Total","From 15 to 19 years","Females",":",""
"2002","Czech Republic","Total","From 10 to 14 years","Females","314,173",""
"2002","Czech Republic","Total","From 15 to 19 years","Females","329,491",""
"2002","Denmark","Total","From 10 to 14 years","Females","154,866",""
"2002","Denmark","Total","From 15 to 19 years","Females","138,193",""
"2002","Germany (until 1990 former territory of the FRG)","Total","From 10 to 14 years","Females",":",""
"2002","Germany (until 1990 former territory of the FRG)","Total","From 15 to 19 years","Females",":",""
"2002","Estonia","Total","From 10 to 14 years","Females",":",""
"2002","Estonia","Total","From 15 to 19 years","Females",":",""
"2002","Ireland","Total","From 10 to 14 years","Females",":",""
"2002","Ireland","Total","From 15 to 19 years","Females",":",""
"2002","Greece","Total","From 10 to 14 years","Females",":",""
"2002","Greece","Total","From 15 to 19 years","Females",":",""
"2002","Spain","Total","From 10 to 14 years","Females","1,027,471",""
"2002","Spain","Total","From 15 to 19 years","Females","1,206,570",""
"2002","France","Total","From 10 to 14 years","Females",":",""
"2002","France","Total","From 15 to 19 years","Females",":",""
"2002","Croatia","Total","From 10 to 14 years","Females",":",""
"2002","Croatia","Total","From 15 to 19 years","Females",":",""
"2002","Italy","Total","From 10 to 14 years","Females","1,369,401",""
"2002","Italy","Total","From 15 to 19 years","Females","1,438,547",""
"2002","Cyprus","Total","From 10 to 14 years","Females",":",""
"2002","Cyprus","Total","From 15 to 19 years","Females",":",""
"2002","Latvia","Total","From 10 to 14 years","Females","86,377",""
"2002","Latvia","Total","From 15 to 19 years","Females","90,448",""
"2002","Lithuania","Total","From 10 to 14 years","Females","130,274",""
"2002","Lithuania","Total","From 15 to 19 years","Females","131,894",""
"2002","Luxembourg","Total","From 10 to 14 years","Females",":",""
"2002","Luxembourg","Total","From 15 to 19 years","Females",":",""
"2002","Hungary","Total","From 10 to 14 years","Females","302,625",""
"2002","Hungary","Total","From 15 to 19 years","Females","321,611",""
"2002","Malta","Total","From 10 to 14 years","Females",":",""
"2002","Malta","Total","From 15 to 19 years","Females",":",""
"2002","Netherlands","Total","From 10 to 14 years","Females","485,656",""
"2002","Netherlands","Total","From 15 to 19 years","Females","459,367",""
"2002","Austria","Total","From 10 to 14 years","Females","233,414",""
"2002","Austria","Total","From 15 to 19 years","Females","235,420",""
"2002","Poland","Total","From 10 to 14 years","Females","1,351,586",""
"2002","Poland","Total","From 15 to 19 years","Females","1,605,580",""
"2002","Portugal","Total","From 10 to 14 years","Females",":",""
"2002","Portugal","Total","From 15 to 19 years","Females",":",""
"2002","Romania","Total","From 10 to 14 years","Females",":",""
"2002","Romania","Total","From 15 to 19 years","Females",":",""
"2002","Slovenia","Total","From 10 to 14 years","Females","57,678",""
"2002","Slovenia","Total","From 15 to 19 years","Females","64,924",""
"2002","Slovakia","Total","From 10 to 14 years","Females",":",""
"2002","Slovakia","Total","From 15 to 19 years","Females",":",""
"2002","Finland","Total","From 10 to 14 years","Females","158,059",""
"2002","Finland","Total","From 15 to 19 years","Females","160,820",""
"2002","Sweden","Total","From 10 to 14 years","Females","295,367",""
"2002","Sweden","Total","From 15 to 19 years","Females","251,908",""
